Rank,Team,Win,Draw,Loss,Goals,Points,WinHome,DrawHome,LossHome,GoalsHome,WinAway,DrawAway,LossAway,GoalsAway
1,Man City,28,5,5,93:29,89,18,1,0,55:12,10,4,5,38:17
2,Man Utd,28,5,5,89:33,89,15,2,2,52:19,13,3,3,37:14
3,Arsenal,21,7,10,74:49,70,12,4,3,39:17,9,3,7,35:32
4,Spurs,20,9,9,66:41,69,13,3,3,39:17,7,6,6,27:24
5,Newcastle,19,8,11,56:51,65,11,5,3,29:17,8,3,8,27:34
6,Chelsea,18,10,10,65:46,64,12,3,4,41:24,6,7,6,24:22
7,Everton,15,11,12,50:40,56,10,3,6,28:15,5,8,6,22:25
8,Fulham,14,10,14,48:51,52,10,5,4,36:26,4,5,10,12:25
9,Liverpool,14,10,14,47:40,52,6,9,4,24:16,8,1,10,23:24
10,Norwich,12,11,15,52:66,47,7,6,6,28:30,5,5,9,24:36
11,Swansea,12,11,15,44:51,47,8,7,4,27:18,4,4,11,17:33
12,West Brom,13,8,17,45:52,47,6,3,10,21:22,7,5,7,24:30
13,Stoke,11,12,15,36:53,45,7,8,4,25:20,4,4,11,11:33
14,Sunderland,11,12,15,45:46,45,7,7,5,26:17,4,5,10,19:29
15,Wigan,11,10,17,42:62,43,5,7,7,22:27,6,3,10,20:35
16,Aston Villa,7,17,14,37:53,38,4,7,8,20:25,3,10,6,17:28
17,QPR,10,7,21,43:66,37,7,5,7,24:25,3,2,14,19:41
18,Bolton,10,6,22,46:77,36,4,4,11,23:39,6,2,11,23:38
19,Blackburn,8,7,23,48:78,31,6,1,12,26:33,2,6,11,22:45
20,Wolves,5,10,23,40:82,25,3,3,13,19:43,2,7,10,21:39
